workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
401.bzip2,250,2,0.9026481865488556,0.950592402113375,0.992372217043685
401.bzip2,500,1,0.9026481865488556,0.9909185776680774,1.0
401.bzip2,500,2,0.9026481865488556,0.9947963069618005,1.0
401.bzip2,500,4,0.9026481865488556,0.9903877311942468,0.9946184074156992
401.bzip2,500,8,0.9026481865488556,0.9885696334186949,0.974220541080596
401.bzip2,500,0,0.9026481865488556,0.9673170685763538,0.9838332710400981
401.bzip2,1000,2,0.9026481865488556,1.0,1.0
403.gcc,250,2,0.9723258533113435,0.9999729293837114,0.9972080618430308
403.gcc,500,1,0.9723258533113435,1.0,1.0
403.gcc,500,2,0.9723258533113435,1.0,1.0
403.gcc,500,4,0.9723258533113435,1.0,1.0
403.gcc,500,8,0.9723258533113435,1.0,1.0
403.gcc,500,0,0.9723258533113435,0.9950352472384532,0.997925805220711
403.gcc,1000,2,0.9723258533113435,1.0,1.0
429.mcf,250,2,0.8567619148515019,0.7811455549324645,0.969851132171853
429.mcf,500,1,0.8567619148515019,0.9410489646247348,0.9996246952357967
429.mcf,500,2,0.8567619148515019,0.8996482807824405,0.9759644466500618
429.mcf,500,4,0.8567619148515019,0.8790987024728524,0.9491393882195177
429.mcf,500,8,0.8567619148515019,0.8691701853681296,0.9365319247398679
429.mcf,500,0,0.8567437601115878,0.8588812980728561,0.9236678283330942
429.mcf,1000,2,0.8567619148515019,0.9686505512278762,0.9923469840581417
433.milc,250,2,0.8021669865681802,0.8188961131449112,0.9679506870231194
433.milc,500,1,0.8021669865681802,0.9716892148159965,1.0
433.milc,500,2,0.8021669865681802,0.9263879639724997,0.997467981481467
433.milc,500,4,0.8021669865681802,0.9028091253099118,0.9750282033808907
433.milc,500,8,0.8021669865681802,0.8913123194589583,0.9610830864119938
433.milc,500,0,0.8021669865681802,0.8792973288378403,0.9467111295849734
433.milc,1000,2,0.8021669865681802,0.9853544301585552,1.0
434.zeusmp,250,2,0.861766607761403,0.840885304382919,1.0
434.zeusmp,500,1,0.861766607761403,0.9853522380573748,1.0
434.zeusmp,500,2,0.861766607761403,0.9385058393544111,1.0
434.zeusmp,500,4,0.861766607761403,0.9167376325001332,0.9816734494247726
434.zeusmp,500,8,0.861766607761403,0.905494355870197,0.9677191730990804
434.zeusmp,500,0,0.8618795879951189,0.8942657431220687,0.9551852527718138
434.zeusmp,1000,2,0.861766607761403,0.9946605031505558,0.9999174485941025
435.gromacs,250,2,0.9566441575672904,0.9657318268062186,1.0
435.gromacs,500,1,0.9566441575672904,0.9980637667278812,0.9996746118695714
435.gromacs,500,2,0.9566441575672904,0.9903961771752051,0.9990925495999906
435.gromacs,500,4,0.9566441575672904,0.9843268122734611,0.994915703765043
435.gromacs,500,8,0.9566441575672904,0.9804756033410624,0.9923418670004982
435.gromacs,500,0,0.9566441575672904,0.9767369344971709,0.9892627875949555
435.gromacs,1000,2,0.9566441575672904,1.0,1.0
436.cactusADM,250,2,0.9106373680435402,0.8153291807312982,1.0
436.cactusADM,500,1,0.9106373680435402,0.9790007758194067,0.9988261875462012
436.cactusADM,500,2,0.9106373680435402,0.9289823529338191,0.9963444664220503
436.cactusADM,500,4,0.9106373680435402,0.9041840390314038,0.9709972621599303
436.cactusADM,500,8,0.9106373680435402,0.8913285624162866,0.955633400764276
