workload,PMQ4,PMQ8,PMQ16,PMQ32
401.bzip2,0.9948057194182354,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0
429.mcf,0.9536336947028532,0.9711292358829828,0.9759644466500618,0.977223227051101
433.milc,0.990172241304257,0.9960195019502913,0.997467981481467,0.997849466641026
434.zeusmp,0.9974496211544214,0.9998877949849682,1.0,0.9995178676008806
435.gromacs,0.9966388936484133,0.9990925495999906,0.9990925495999906,0.9990925495999906
436.cactusADM,0.9804454623371622,0.9945821533827344,0.9963444664220503,0.9977400562231048
437.leslie3d,0.9982131004072329,1.0,0.9997493909417462,1.0
444.namd,1.0,1.0,1.0,1.0
445.gobmk,1.0,1.0,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0
450.soplex,1.0,1.0,1.0,1.0
456.hmmer,1.0,0.9958153518085877,0.9939696497935844,0.9941223442404855
458.sjeng,1.0,1.0,1.0,1.0
459.GemsFDTD,0.9854014011561708,0.9949538932056348,0.9978438417476827,0.9984875927823486
462.libquantum,0.9991855510665401,1.0,0.9999873139724444,0.9999873139724444
464.h264ref,1.0,1.0,1.0,1.0
470.lbm,0.9717830207452248,0.9867875576423933,0.990904688781201,0.9923476340717919
471.omnetpp,0.9750736349229856,0.9786643198390641,0.9970005642673526,0.993332601299848
473.astar,0.9955248406201368,0.9997464386179196,1.0,1.0
481.wrf,1.0,1.0,1.0,1.0
482.sphinx3,0.9913585509147127,0.9967525146108767,0.9982959340478009,1.0
483.xalancbmk,0.9789002776619558,0.9837127319888161,0.9814977219485592,0.9836683835158048
500.perlbench,0.9989988837022147,0.9996088019107522,0.9996652870160775,1.0
502.gcc,0.9982329228058855,0.9999694700728404,1.0,1.0
505.mcf,0.9977702946118686,0.994383130553109,0.9975510735477192,0.9944994561328507
507.cactuBSSN,0.9585317915363485,0.9762187847310817,0.9813466304767787,0.982986016501834
508.namd,1.0,1.0,1.0,1.0
510.parest,0.9883924406551065,0.992414771555907,0.9953802018436576,0.9971721067978541
511.povray,1.0,1.0,1.0,1.0
519.lbm,0.9723084030610196,0.9875765714830212,0.9913543844469519,0.9929403164084473
520.omnetpp,0.9933583751280847,0.9998986083584146,0.9996411316499122,0.9996232075401277
523.xalancbmk,0.998223225575978,0.9974429794570923,1.0,1.0
525.x264,1.0,1.0,1.0,1.0
526.blender,1.0,1.0,1.0,1.0
531.deepsjeng,1.0,1.0,1.0,1.0
538.imagick,1.0,1.0,1.0,1.0
541.leela,1.0,1.0,1.0,1.0
544.nab,1.0,1.0,1.0,1.0
549.fotonik3d,0.9828992798319376,0.9928381263887472,0.9949879149785499,0.9960432939925128
557.xz,0.999327619035776,1.0,1.0,1.0
grep_map0,1.0,1.0,1.0,1.0
h264_encode,1.0,1.0,1.0,1.0
jp2_decode,0.9955087748978172,0.9969928928705376,0.9976044965217994,0.9980515892756642
jp2_encode,0.9998340877150266,1.0,1.0,1.0
tpcc64,0.9938406080919482,1.0,1.0,1.0
tpch17,0.9964875892262783,0.9997942861114599,0.9996596799400319,0.9996596799400319
tpch2,0.9933536539387318,0.9950813113813577,1.0,1.0
tpch6,0.980021673763128,1.0,1.0,1.0
wc_8443,1.0,0.9997573491511951,1.0,1.0
wc_map0,1.0,1.0,1.0,1.0
ycsb_abgsave,0.9999592555220412,0.9999322996543855,1.0,1.0
ycsb_aserver,0.9996271565751951,1.0,1.0,1.0
ycsb_bserver,1.0,1.0,1.0,1.0
ycsb_cserver,1.0,0.9999770165146848,0.9999770165146848,0.9999770165146848
ycsb_dserver,1.0,0.9995971580298791,0.9995971580298791,0.9995971580298791
ycsb_eserver,0.9999587228512129,0.999094981749449,0.999094981749449,0.999094981749449
HIGH (17),0.9879449570188671,0.993900570046936,0.9954514629288732,0.9961481558140162
MEDIUM (21),0.9937097290550656,0.9967331852785457,0.9981730467428468,0.9980426153413681
LOW (19),0.9994557678517614,0.9999506121261693,0.9999522189109011,0.9999522189109011
SPEC2K6 (23),0.9916053159932278,0.9954978205004508,0.9968559599258857,0.9970866505145863
SPEC2K17 (18),0.9937156044213751,0.9966673554346214,0.9977628636102551,0.9979502064752394
TPC (4),0.9909050723880719,0.9987166840970996,0.9999149091249385,0.9999149091249385
Hadoop (3),1.0,0.9999191098406902,1.0,1.0
MediaBench (3),0.9984454538927338,0.9989966245312347,0.9992008603865947,0.9993501074897762
YCSB (6),0.9999241801649781,0.9997668542582945,0.9997781354640758,0.9997781354640758
All (57),0.9938952517755315,0.9969579411984404,0.9979527914940024,0.9981129929926679
