workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
401.bzip2,250,2,0.0,2.2979476291578202,0.15277519955448302
401.bzip2,500,1,0.0,0.04265578635014837,0.0
401.bzip2,500,2,0.0,0.44742729306487694,0.008938547486033519
401.bzip2,500,4,0.0,0.9996294924045943,0.09620018535681187
401.bzip2,500,8,0.0,1.3644239631336406,0.337593573123973
401.bzip2,500,0,0.0,1.7926542428080332,0.737912087912088
401.bzip2,1000,2,0.0,0.013480621606440741,0.0007450176941702365
403.gcc,250,2,0.0,0.008561236623067776,0.0
403.gcc,500,1,0.0,0.0,0.0
403.gcc,500,2,0.0,0.00023798191337458352,0.0
403.gcc,500,4,0.0,0.0007139457401237506,0.0
403.gcc,500,8,0.0,0.004521656354117087,0.0
403.gcc,500,0,0.0,0.45635202271114267,0.1517094017094017
403.gcc,1000,2,0.0,0.0,0.0
429.mcf,250,2,0.0,9.585371929649744,1.3489646898206566
429.mcf,500,1,0.0,2.3088716063922674,0.006496579615368068
429.mcf,500,2,0.0,4.0111689669189525,0.3662966911226772
429.mcf,500,4,0.0,4.860836343691487,1.297172603858324
429.mcf,500,8,0.0,5.281384796369951,1.7603003815329956
429.mcf,500,0,0.0005647803004631198,5.698508234251532,2.2278165005691917
429.mcf,1000,2,0.0,1.2024177384332722,0.23172005200008525
433.milc,250,2,0.0,6.975134954876092,0.999089006524683
433.milc,500,1,0.0,0.9469805628369355,0.0
433.milc,500,2,0.0,2.611400428871032,0.023464282993473678
433.milc,500,4,0.0,3.4825621467628545,0.6727597410650066
433.milc,500,8,0.0,3.9174172470903192,1.146319986302375
433.milc,500,0,0.0,4.346842305710509,1.6178795180722891
433.milc,1000,2,0.0,0.4906715482220773,0.00033083931389016135
434.zeusmp,250,2,0.0,6.305633956164521,0.636111139899058
434.zeusmp,500,1,0.0,0.428278346568767,0.00017944193558034512
434.zeusmp,500,2,0.0,2.204877592973276,0.0007280343073701007
434.zeusmp,500,4,0.0,3.108113290237756,0.5101236355099965
434.zeusmp,500,8,0.0,3.5555535519470567,0.9905666740540175
434.zeusmp,500,0,8.576476440419219e-06,4.00522958501862,1.470280818657782
434.zeusmp,1000,2,0.0,0.22463093232933717,0.0005079934259674286
435.gromacs,250,2,0.0,1.173142345568487,0.07427401340282949
435.gromacs,500,1,0.0,0.011653718091009988,0.0001852537977028529
435.gromacs,500,2,0.0,0.2698237885462555,0.0003704389701796629
435.gromacs,500,4,0.0,0.5275446917183509,0.03799336038362228
435.gromacs,500,8,0.0,0.6824127906976745,0.14425022999080037
435.gromacs,500,0,0.0,1.1252715423606083,0.39615032080659945
435.gromacs,1000,2,0.0,0.004078605858361142,0.0
436.cactusADM,250,2,0.0,6.9092709270927095,0.4836309523809524
436.cactusADM,500,1,0.0,0.7194032002306473,7.355104442483083e-05
436.cactusADM,500,2,0.0,2.4514297441510466,0.044221179231446174
436.cactusADM,500,4,0.0,3.3299820227711567,0.6561069794050344
436.cactusADM,500,8,0.0,3.7647522152937314,1.1290980723230617
436.cactusADM,500,0,0.0,4.197800776196637,1.6067829592049483
436.cactusADM,1000,2,0.0,0.36306010928961746,0.018480341628626124
437.leslie3d,250,2,0.0,6.2262608100008565,0.9447268269009732
437.leslie3d,500,1,0.0,0.4882296842844953,5.091001654575538e-05
437.leslie3d,500,2,0.0,2.191638547873741,0.00529140909206543
437.leslie3d,500,4,0.0,3.0801962846126885,0.49541904475818566
437.leslie3d,500,8,0.0,3.527455779799566,0.9739583333333334
437.leslie3d,500,0,0.0,3.9704038123902685,1.4518291048231824
437.leslie3d,1000,2,0.0,0.25360230547550433,2.5459544783339274e-05
444.namd,250,2,0.0,0.0125,0.0
444.namd,500,1,0.0,0.0,0.0
444.namd,500,2,0.0,0.000490075961774075,0.0
444.namd,500,4,0.0,0.0014687882496940024,0.0
444.namd,500,8,0.0,0.003430531732418525,0.0
444.namd,500,0,0.0,0.11820851688693099,0.036991670749632534
444.namd,1000,2,0.0,0.0,0.0
445.gobmk,250,2,0.0,0.6406483258690553,0.0006433626420759168
445.gobmk,500,1,0.0,0.002372735116479724,0.0
445.gobmk,500,2,0.0,0.03082560896744988,0.0
445.gobmk,500,4,0.0,0.2107980210798021,0.0
445.gobmk,500,8,0.0,0.615450460089878,0.008620689655172414
445.gobmk,500,0,0.0,1.1015109597786763,0.38266838266838266
445.gobmk,1000,2,0.0,0.0,0.0
447.dealII,250,2,0.0,0.034591961023142506,0.0
447.dealII,500,1,0.0,0.0,0.0
447.dealII,500,2,0.0,0.000731528895391368,0.0
447.dealII,500,4,0.0,0.00853450377956596,0.0
447.dealII,500,8,0.0,0.015605949768349184,0.0
447.dealII,500,0,0.0,0.15693430656934307,0.05091352009744214
447.dealII,1000,2,0.0,0.0,0.0
450.soplex,250,2,0.0,6.3363824249846905,0.9482962768056835
450.soplex,500,1,0.0,0.5158445607393386,0.00019572876342916794
450.soplex,500,2,0.0,2.26078345529218,0.023020571091605997
450.soplex,500,4,0.0,3.1553534518396034,0.607351824556702
450.soplex,500,8,0.0,3.5941971548954985,1.080718248422479
450.soplex,500,0,0.000557672646156706,4.032613351281895,1.5574790023722511
450.soplex,1000,2,0.0,0.27009739463772314,0.0008122926961348406
456.hmmer,250,2,0.0,1.942883749805991,0.3092979127134725
456.hmmer,500,1,0.0,0.0004916420845624386,0.000988793671720501
456.hmmer,500,2,0.0,0.1812335092348285,0.015041322314049586
456.hmmer,500,4,0.0,0.8565015231681898,0.16281373844121533
456.hmmer,500,8,0.0,1.2786462530217566,0.36877938077484196
456.hmmer,500,0,0.0,1.7782020684168656,0.8275028212155409
456.hmmer,1000,2,0.0,0.0,0.0014819693726329656
458.sjeng,250,2,0.0,0.6319654427645789,0.0
458.sjeng,500,1,0.0,0.0,0.0
458.sjeng,500,2,0.0,0.00021777003484320557,0.0
458.sjeng,500,4,0.0,0.2066869300911854,0.0
458.sjeng,500,8,0.0,0.6485961123110151,0.00021772262138036142
458.sjeng,500,0,0.0,1.1386798537948828,0.38218079340992844
458.sjeng,1000,2,0.0,0.0,0.0
459.GemsFDTD,250,2,0.0,7.414483649957614,1.0050301283730678
459.GemsFDTD,500,1,0.0,1.090450029607211,0.00023857400906581233
459.GemsFDTD,500,2,0.0,2.847745808256203,0.02687267349956657
459.GemsFDTD,500,4,0.0,3.73320227911477,0.780622780209796
459.GemsFDTD,500,8,0.0,4.17309559939302,1.2557763589751965
459.GemsFDTD,500,0,0.0,4.61716805134819,1.7311518156064898
459.GemsFDTD,1000,2,0.0,0.5801870221984309,0.007510217983651226
462.libquantum,250,2,0.0,6.062385697756877,1.426349400383586
462.libquantum,500,1,0.0,0.7528387336731792,0.0
462.libquantum,500,2,0.0,2.2397159852546915,2.2389396381873544e-05
462.libquantum,500,4,0.0,3.1025060201624424,0.5205654394926899
462.libquantum,500,8,0.0,3.5323655545935932,0.9938978045125845
462.libquantum,500,0,0.0,3.9629151694427347,1.4650540511612973
462.libquantum,1000,2,0.0,0.4061020399132705,2.238739142115161e-05
464.h264ref,250,2,0.0,0.15293560606060605,0.005199716379106594
464.h264ref,500,1,0.0,0.0028517110266159697,0.0
464.h264ref,500,2,0.0,0.023487544483985764,0.0
464.h264ref,500,4,0.0,0.06275255526503447,0.0009526077637532746
464.h264ref,500,8,0.0,0.09867172675521822,0.010201660735468564
464.h264ref,500,0,0.0,0.36587677725118484,0.17644276253547778
464.h264ref,1000,2,0.0,0.00047607712449416806,0.0
470.lbm,250,2,0.0,6.658715717191012,0.7345591893510951
470.lbm,500,1,0.0,0.7088490490704944,9.966115208291807e-06
470.lbm,500,2,0.0,2.4692159513975067,0.08316472062931196
470.lbm,500,4,0.0,3.3586676431497002,0.7232570414087616
470.lbm,500,8,0.0,3.8016397542154903,1.1973694178250824
470.lbm,500,0,0.0,4.245390283457905,1.6737595936583818
470.lbm,1000,2,0.0,0.37901431468682933,0.0004485020033089481
471.omnetpp,250,2,0.0,10.282956228612289,1.6505276622961305
471.omnetpp,500,1,0.0,2.694137097799822,0.0
471.omnetpp,500,2,0.0,4.355059006769305,0.43145106556264423
471.omnetpp,500,4,0.0,5.38623595505618,1.3532754228985697
471.omnetpp,500,8,0.0,5.738131699846861,1.7990079237260839
471.omnetpp,500,0,0.0002242403856934634,6.09542811538023,2.2478533585043543
471.omnetpp,1000,2,0.0,1.489216799091941,0.39412367611889304
473.astar,250,2,0.0,5.983461151134867,0.3280397740985664
473.astar,500,1,0.0,0.2474973474189233,4.6483521591595777e-05
473.astar,500,2,0.0,2.0026637554585154,0.0
473.astar,500,4,0.0,2.8893557422969187,0.44257588187038555
473.astar,500,8,0.0,3.3289920013400898,0.9180651530108588
473.astar,500,0,0.0,3.766641889659729,1.3969671515097926
473.astar,1000,2,0.0,0.10301822059437155,0.0
481.wrf,250,2,0.0,0.09466731898238748,0.0014695077149155032
481.wrf,500,1,0.0,0.0007358351729212656,0.0
481.wrf,500,2,0.0,0.015441176470588236,0.0
481.wrf,500,4,0.0,0.03748162665360118,0.0
481.wrf,500,8,0.0,0.05216752387950037,0.004412846285854376
481.wrf,500,0,0.0,0.09571603427172583,0.028914481744670425
481.wrf,1000,2,0.0,0.0,0.0
482.sphinx3,250,2,0.0,7.524978762995024,1.2917416793611227
482.sphinx3,500,1,0.0,1.2323012065707224,5.041084841457882e-05
482.sphinx3,500,2,0.0,2.958448753462604,0.003618999748680573
482.sphinx3,500,4,0.0,3.8241733489503558,0.8014900499950985
482.sphinx3,500,8,0.0,4.266485716828335,1.2720375024163928
482.sphinx3,500,0,0.00010203387524658187,4.692869396911978,1.7478124405554498
482.sphinx3,1000,2,0.0,0.6509540949657314,5.032459362890645e-05
483.xalancbmk,250,2,0.0,9.793265306122448,1.6016613924050633
483.xalancbmk,500,1,0.0,2.4727317676143388,0.0
483.xalancbmk,500,2,0.0,4.196633980765604,0.3441431955777836
483.xalancbmk,500,4,0.0,4.97247452625755,1.2425953493147168
483.xalancbmk,500,8,0.0,5.395762132604238,1.7408831116281422
483.xalancbmk,500,0,0.0005710323449035364,5.831533186931385,2.1929737261146496
483.xalancbmk,1000,2,0.0,1.3390919841637101,0.31946131502508585
500.perlbench,250,2,0.0,3.9426399447132,0.019866521806611828
500.perlbench,500,1,0.0,0.029762827468609518,0.0
500.perlbench,500,2,0.0,0.9347104945717732,0.0015518311607697084
500.perlbench,500,4,0.0,1.8178078166323832,0.03777089783281734
500.perlbench,500,8,0.0,2.2676526025808323,0.4815210751374466
